unix,date,trade,price,open,high,low,close,balance,position_size
1633039200,2021-10-01 00:00:00,BUY,43816.74219,43816.74219,48436.01172,43320.02344,48116.94141,99.0,0.0022594103315739917
1633125600,2021-10-02 00:00:00,SELL,47711.48828,48137.46875,48282.0625,47465.49609,47711.48828,106.72183125905737,0.0022594103315739917
1633212000,2021-10-03 00:00:00,BUY,47680.02734,47680.02734,49130.69141,47157.28906,48199.95313,105.6546129464668,0.0022159092358118348
1633298400,2021-10-04 00:00:00,SELL,49112.90234,48208.90625,49456.77734,47045.00391,49112.90234,107.74143655380337,0.0022159092358118348
1633384800,2021-10-05 00:00:00,BUY,49174.96094,49174.96094,51839.98438,49072.83984,51514.8125,106.66402218826533,0.002169071823329146
1633471200,2021-10-06 00:00:00,SELL,55361.44922,51486.66406,55568.46484,50488.19141,55361.44922,118.88213000575163,0.002169071823329146
1633557600,2021-10-07 00:00:00,BUY,55338.625,55338.625,55338.625,53525.46875,53805.98438,117.69330870569412,0.0021267841169832847
1633903200,2021-10-11 00:00:00,SELL,57484.78906,54734.125,57793.03906,54519.76563,57484.78906,121.03515897753306,0.0021267841169832847
1633989600,2021-10-12 00:00:00,BUY,57526.83203,57526.83203,57627.87891,54477.97266,56041.05859,119.82480738775773,0.002082937703318507
1634248800,2021-10-15 00:00:00,SELL,61593.94922,57345.90234,62757.12891,56868.14453,61593.94922,127.01339553535733,0.002082937703318507
1634335200,2021-10-16 00:00:00,BUY,61609.52734,61609.52734,62274.47656,60206.12109,60892.17969,125.74326158000376,0.0020409710479691494
1634594400,2021-10-19 00:00:00,SELL,64261.99219,62043.16406,64434.53516,61622.93359,64261.99219,129.84529688916348,0.0020409710479691494
1634680800,2021-10-20 00:00:00,BUY,64284.58594,64284.58594,66930.39063,63610.67578,65992.83594,128.54684392027184,0.0019996526700856564
1636326000,2021-11-08 00:00:00,SELL,67566.82813,63344.06641,67673.74219,63344.06641,67566.82813,133.7590863965794,0.0019996526700856564
1636412400,2021-11-09 00:00:00,BUY,67549.73438,67549.73438,68530.33594,66382.0625,66971.82813,132.4214955326136,0.0019603555328238376
